Date,high Temp. (°C),avg Temp. (°C),low Temp. (°C),high Dew Point (°C),avg Dew Point (°C),low Dew Point (°C),high Humidity (%),avg Humidity (%),low Humidity (%),high Sea Level Press. (hPa),avg Sea Level Press. (hPa),low Sea Level Press. (hPa),high Visibility (km),avg Visibility (km),low Visibility (km),high Wind (km/h),avg Wind (km/h),high Gust Wind (km/h),sum Precip. (mm),Events
7/2/2017,24,18,12,16,12,10,94,74,43,1024,1022,1021,31,13,2,19,13,-,1,Rain
7/3/2017,26,19,12,14,12,10,94,63,33,1025,1023,1021,31,16,10,16,8,-,0,
7/4/2017,28,20,12,14,12,10,94,56,26,1023,1021,1017,31,23,10,11,5,-,0,
7/5/2017,32,24,17,15,13,11,82,49,20,1018,1017,1014,31,29,19,14,6,-,0,
7/6/2017,35,28,20,19,15,11,69,46,18,1016,1015,1012,26,12,9,24,8,-,0,"Rain , Thunderstorm"
7/7/2017,34,27,20,18,15,11,83,50,17,1018,1016,1015,31,27,10,16,6,-,0,
7/8/2017,31,25,19,14,13,10,64,44,24,1019,1017,1014,31,28,19,16,11,-,0,
7/9/2017,30,24,18,18,16,14,94,61,30,1016,1012,1009,26,14,3,19,13,-,0,"Rain , Thunderstorm"
7/10/2017,23,20,17,18,16,14,94,82,60,1013,1011,1009,31,13,8,19,8,29,5,"Rain , Thunderstorm"
7/11/2017,24,19,14,15,12,9,94,67,29,1014,1013,1012,31,17,10,27,8,-,0,Rain
7/12/2017,24,20,16,17,14,11,94,69,46,1021,1014,1010,31,13,3,26,16,-,1,Rain
7/13/2017,24,20,15,16,12,9,83,59,39,1022,1020,1018,31,16,10,21,13,-,0,Rain
7/14/2017,24,19,14,16,10,7,78,53,31,1023,1020,1019,31,20,10,24,13,-,0,
7/15/2017,27,19,11,12,10,8,88,53,24,1025,1024,1022,31,23,10,16,8,-,0,
7/16/2017,31,23,17,17,14,8,72,52,28,1025,1024,1022,31,19,10,19,10,32,0,
7/17/2017,30,23,17,16,15,13,83,60,30,1023,1021,1017,31,23,10,19,11,-,0,
7/18/2017,34,27,19,17,16,14,78,52,24,1018,1013,1008,31,26,19,21,13,-,0,
7/19/2017,31,26,22,19,16,15,78,57,35,1010,1009,1008,31,14,10,26,11,-,1,Rain
7/20/2017,24,20,16,16,13,8,83,60,31,1015,1012,1010,31,16,10,32,14,48,0,
7/21/2017,25,19,12,12,9,7,82,51,22,1015,1012,1009,31,27,10,24,6,-,0,
7/22/2017,21,18,14,16,12,9,94,68,35,1014,1011,1010,31,15,6,23,14,27,3,Rain
7/23/2017,22,18,13,13,11,8,88,64,32,1017,1015,1013,31,18,10,29,14,-,0,Rain
7/24/2017,22,18,13,15,13,12,94,79,51,1016,1013,1012,31,14,6,29,13,45,4,Rain
7/25/2017,23,19,15,13,12,9,88,66,37,1016,1015,1014,26,14,8,23,14,-,0,Rain
7/26/2017,24,17,10,18,13,9,94,74,41,1015,1013,1011,27,14,6,24,11,-,0,Rain
7/27/2017,23,20,17,16,13,9,94,68,33,1012,1010,1009,31,12,4,21,13,-,1,Rain
7/28/2017,24,19,14,12,11,9,77,56,31,1016,1014,1011,29,12,10,26,11,42,0,
7/29/2017,29,23,18,16,14,12,73,55,35,1015,1013,1010,31,16,10,27,18,-,0,
7/30/2017,26,23,19,16,12,8,78,51,24,1012,1010,1008,31,16,10,37,24,52,0,
7/31/2017,24,19,13,15,11,9,88,56,28,1015,1014,1012,31,16,10,14,8,-,0,"Rain , Thunderstorm"
8/1/2017,27,21,15,16,13,9,94,63,27,1017,1015,1013,31,20,10,19,5,-,0,Rain
8/2/2017,30,23,16,13,12,9,72,48,24,1019,1016,1013,31,28,16,24,11,-,0,
8/3/2017,28,23,18,16,12,10,78,50,24,1014,1014,1012,31,20,10,34,18,48,0,Rain
8/4/2017,27,22,18,15,12,11,68,51,28,1016,1015,1014,31,22,10,24,18,-,1,
8/5/2017,25,20,16,17,12,7,88,59,25,1022,1017,1013,31,17,10,21,10,34,1,Rain
8/6/2017,24,17,9,11,7,5,94,50,19,1025,1023,1022,31,23,10,11,6,-,0,
8/7/2017,27,19,12,10,7,4,72,44,16,1022,1018,1012,31,29,26,13,8,-,0,
8/8/2017,19,17,14,15,12,7,88,69,33,1015,1011,1009,26,13,8,23,8,-,3,Rain
8/9/2017,19,16,12,12,11,8,88,76,39,1018,1016,1014,31,14,3,23,8,-,9,Rain
8/10/2017,20,16,11,13,11,9,94,77,45,1021,1019,1018,31,12,6,11,5,-,3,"Rain , Thunderstorm"
8/11/2017,22,18,13,13,11,10,88,69,42,1021,1020,1019,31,13,6,13,6,-,0,
8/12/2017,21,17,12,16,13,9,94,77,58,1021,1020,1019,31,15,3,27,13,-,0,Rain
8/13/2017,24,17,10,15,11,8,94,66,31,1022,1021,1020,31,16,10,10,5,-,0,Rain
8/14/2017,28,19,9,14,11,9,100,62,27,1021,1018,1014,31,23,10,13,5,-,0,Fog
8/15/2017,28,22,17,18,16,12,94,72,41,1020,1015,1012,31,14,3,24,11,53,12,"Fog , Rain , Thunderstorm"
8/16/2017,26,20,14,18,15,12,94,72,43,1022,1020,1019,31,17,10,11,6,-,0,Rain
8/17/2017,25,21,16,19,16,12,94,79,58,1019,1017,1016,31,15,3,27,13,-,7,Rain
8/18/2017,23,19,14,18,16,11,94,84,48,1018,1015,1014,26,12,3,26,13,-,7,"Rain , Thunderstorm"
8/19/2017,22,17,11,12,10,9,88,68,37,1024,1021,1018,31,15,10,24,13,-,0,
8/20/2017,22,16,9,11,8,7,94,62,29,1027,1025,1024,31,22,10,13,5,-,0,
8/21/2017,24,20,16,16,13,9,83,61,44,1025,1023,1020,31,17,10,13,6,-,0,Rain
8/22/2017,28,21,15,17,16,14,94,67,40,1021,1018,1015,31,22,10,23,6,-,0,Fog
8/23/2017,27,21,16,19,16,13,88,70,44,1017,1015,1012,31,16,10,23,11,-,0,Rain
8/24/2017,24,19,13,14,13,12,94,68,41,1020,1018,1017,31,14,10,14,6,-,0,Fog
8/25/2017,23,19,16,19,16,13,94,78,52,1017,1016,1014,31,13,4,16,8,-,14,"Fog , Rain , Thunderstorm"
8/26/2017,28,22,16,20,17,14,100,78,34,1016,1015,1014,26,7,0,8,2,-,0,Fog
8/27/2017,28,23,18,19,17,15,94,71,40,1019,1017,1016,31,16,3,16,6,39,2,"Rain , Thunderstorm"
8/28/2017,29,23,17,18,17,15,89,66,36,1018,1017,1015,31,22,14,11,6,-,0,
8/29/2017,32,24,17,19,17,15,94,61,28,1016,1013,1009,31,22,13,13,3,-,0,
8/30/2017,23,19,14,18,16,12,94,74,41,1013,1010,1008,31,15,7,27,11,-,1,Rain
8/31/2017,21,16,11,11,10,8,94,69,37,1022,1019,1014,31,16,6,24,16,-,0,Rain
9/1/2017,21,17,12,12,10,8,88,68,40,1022,1020,1019,31,18,6,26,5,-,3,"Rain , Thunderstorm"
9/2/2017,21,17,12,12,10,8,94,69,36,1022,1021,1020,31,14,10,19,8,-,1,Rain
9/3/2017,21,14,8,12,10,8,100,70,35,1021,1016,1012,31,17,10,16,6,-,0,"Fog , Rain"
9/4/2017,24,20,15,16,13,11,82,66,49,1018,1015,1012,19,14,10,19,8,-,0,
9/5/2017,22,19,17,17,16,14,94,73,57,1019,1018,1017,31,14,10,23,13,-,0,Rain
9/6/2017,20,16,12,15,11,9,88,68,43,1023,1021,1019,31,15,10,24,18,-,0,
9/7/2017,21,16,12,12,10,9,88,68,41,1022,1019,1015,31,15,10,23,11,-,0,
9/8/2017,19,17,14,15,12,9,94,76,56,1015,1008,1001,31,13,3,29,16,48,7,Rain
9/9/2017,18,14,11,14,11,8,94,82,56,1004,1001,999,26,13,4,24,14,-,9,Rain
9/10/2017,19,14,9,13,10,8,100,78,49,1008,1005,1001,31,16,10,29,11,48,0,
9/11/2017,18,15,12,13,9,8,94,70,42,1006,1002,1000,31,15,5,34,23,52,1,Rain
9/12/2017,19,14,11,11,9,7,88,70,43,1013,1010,1006,31,15,10,27,18,-,1,Rain
9/13/2017,18,15,12,15,13,8,100,84,62,1011,1008,1006,31,8,2,35,24,58,19,Rain
9/14/2017,18,14,11,12,9,6,94,78,49,1017,1011,1006,31,13,3,35,18,52,11,Rain
9/15/2017,18,12,7,9,8,5,94,73,41,1016,1014,1012,31,17,10,23,11,-,0,
9/16/2017,16,11,6,9,7,4,100,77,43,1013,1012,1011,31,18,10,16,6,32,0,"Fog , Rain"
9/17/2017,16,12,7,10,8,6,100,81,55,1016,1013,1011,31,14,7,13,5,-,2,"Fog , Rain"
9/18/2017,17,12,6,11,8,5,100,83,53,1020,1017,1015,19,11,0,19,6,-,5,"Fog , Rain , Thunderstorm"
9/19/2017,18,13,8,10,8,7,95,77,43,1024,1021,1019,26,13,6,14,10,-,0,Rain
9/20/2017,18,12,6,9,8,4,100,77,49,1024,1022,1020,31,16,10,13,5,-,0,Fog
9/21/2017,21,14,7,9,8,6,93,68,30,1021,1019,1017,26,19,0,13,3,-,0,Fog
9/22/2017,21,14,9,13,10,6,94,76,41,1024,1021,1018,31,14,10,13,5,-,0,Rain
9/23/2017,20,13,7,11,8,5,95,72,40,1025,1022,1020,19,11,8,10,3,-,0,Fog
9/24/2017,22,15,8,12,9,7,100,72,32,1021,1020,1019,31,18,10,13,3,-,0,Fog
9/25/2017,20,17,14,14,12,9,82,68,53,1020,1018,1017,31,18,10,10,5,-,0,Rain
9/26/2017,20,17,13,15,13,11,94,78,49,1022,1021,1019,19,11,3,10,5,-,0,Rain
9/27/2017,21,16,11,14,12,10,100,86,57,1022,1021,1020,26,7,0,10,3,-,0,Fog
9/28/2017,20,17,14,15,14,13,94,82,62,1023,1021,1019,19,12,6,11,5,-,1,Rain
9/29/2017,25,20,14,17,15,14,94,77,50,1022,1020,1018,31,12,2,16,6,-,0,"Fog , Rain , Thunderstorm"
9/30/2017,18,16,13,17,11,7,100,74,42,1021,1019,1017,26,13,10,21,10,-,1,Rain
10/1/2017,15,13,12,14,12,9,100,86,72,1020,1019,1018,26,11,3,19,11,-,1,Rain
10/2/2017,19,17,14,16,14,13,100,84,64,1019,1017,1016,31,13,2,23,14,35,2,Rain
10/3/2017,18,13,9,13,9,6,100,73,39,1028,1023,1017,31,12,4,16,10,-,2,Rain
10/4/2017,18,12,7,9,8,6,94,75,44,1028,1026,1023,31,20,10,16,6,-,0,
10/5/2017,16,12,8,14,9,6,94,83,68,1024,1020,1018,31,15,2,21,10,-,1,Rain
10/6/2017,16,10,5,9,6,3,100,72,34,1028,1025,1022,31,19,10,21,11,-,0,
10/7/2017,16,9,3,11,6,2,94,75,44,1029,1024,1018,31,15,5,23,10,-,0,Rain
10/8/2017,17,14,12,12,11,10,94,80,55,1022,1020,1018,26,13,6,14,10,32,0,Rain
10/9/2017,18,13,7,11,9,6,100,77,37,1023,1021,1020,26,14,2,14,5,-,0,"Fog , Rain"
10/10/2017,17,14,12,14,12,10,100,80,58,1021,1020,1018,31,14,8,19,8,-,1,Rain
10/11/2017,19,16,13,12,11,10,88,74,50,1020,1019,1016,31,15,10,23,10,-,0,
10/12/2017,21,17,12,14,12,11,94,77,54,1026,1023,1018,27,14,10,21,13,-,0,
10/13/2017,22,18,13,15,13,11,95,79,46,1027,1026,1025,26,11,0,13,6,-,0,Fog
10/14/2017,23,16,9,14,12,8,100,80,46,1028,1026,1024,27,11,0,10,2,-,0,Fog
10/15/2017,24,17,10,15,12,9,100,75,42,1025,1023,1021,26,17,0,16,5,-,0,Fog
10/16/2017,24,19,13,15,13,12,88,72,45,1023,1021,1020,27,20,10,16,10,-,0,
10/17/2017,23,17,11,16,13,10,94,80,53,1023,1020,1015,18,13,10,8,3,-,0,Fog
10/18/2017,20,16,11,13,12,10,100,77,49,1015,1013,1011,26,12,0,11,3,-,0,Fog
10/19/2017,21,16,11,14,12,9,94,74,51,1011,1009,1007,31,15,10,26,8,-,0,
10/20/2017,17,13,11,12,9,6,88,72,43,1015,1012,1008,31,13,5,29,18,-,5,Rain
10/21/2017,17,14,11,13,9,6,88,73,40,1016,1013,1011,31,16,8,39,16,63,3,Rain
10/22/2017,13,11,9,8,6,4,87,72,48,1022,1018,1016,31,14,10,29,23,47,1,Rain
10/23/2017,14,12,9,12,9,7,95,85,65,1024,1023,1022,31,11,2,16,13,-,2,Rain
10/24/2017,18,16,13,15,14,12,100,91,74,1025,1024,1023,26,10,2,16,10,-,1,Rain
10/25/2017,19,15,10,14,13,9,100,85,60,1025,1024,1022,31,11,0,13,8,-,0,"Fog , Rain"
10/26/2017,14,12,9,14,12,9,100,96,88,1026,1025,1024,10,1,0,11,2,-,0,Fog
10/27/2017,16,12,9,12,9,5,100,78,44,1034,1030,1026,27,9,2,19,8,-,0,
10/28/2017,14,9,3,8,6,2,100,81,50,1034,1029,1024,31,14,8,21,10,-,0,Fog
10/29/2017,15,12,9,13,9,4,94,81,62,1025,1021,1020,26,12,3,23,16,39,1,Rain
10/30/2017,12,8,4,6,3,2,87,72,45,1031,1028,1025,26,16,10,19,11,-,0,
10/31/2017,13,7,1,6,3,0,100,79,41,1030,1028,1025,26,15,0,6,2,-,0,Fog
11/1/2017,13,8,3,6,4,1,93,77,45,1026,1022,1017,26,14,5,10,2,-,0,
11/2/2017,14,10,7,9,7,5,94,82,66,1018,1017,1015,18,11,5,11,5,-,0,
11/3/2017,16,12,9,10,9,7,100,80,55,1018,1015,1011,19,9,2,10,3,-,0,
11/4/2017,15,12,8,12,9,7,94,84,71,1011,1008,1007,31,13,9,24,10,27,2,Rain
11/5/2017,11,7,3,9,4,2,94,80,48,1021,1014,1009,31,12,2,32,16,-,4,Rain
11/6/2017,11,6,1,4,1,-1,93,73,39,1027,1025,1020,31,16,10,21,10,-,0,
11/7/2017,11,4,-2,3,-1,-3,100,77,37,1027,1022,1018,26,14,8,11,3,29,0,
11/8/2017,8,3,-2,3,1,-2,100,79,56,1023,1020,1017,16,10,2,10,3,-,0,
11/9/2017,11,8,6,6,4,2,82,74,60,1027,1025,1023,19,11,6,11,6,-,0,Rain
11/10/2017,12,10,8,10,8,5,95,86,67,1026,1022,1020,26,10,3,23,13,-,1,Rain
11/11/2017,13,10,8,12,9,5,100,88,72,1023,1015,1011,19,10,3,27,16,52,3,Rain
11/12/2017,12,9,7,12,6,0,100,79,52,1016,1009,1003,31,11,5,35,19,58,5,Rain
11/13/2017,9,7,4,3,2,1,81,69,48,1027,1022,1015,31,17,10,26,19,-,0,
11/14/2017,12,6,0,4,2,-1,100,80,45,1028,1027,1026,31,12,2,11,5,-,0,
11/15/2017,10,7,4,5,4,3,93,84,60,1028,1026,1025,14,7,2,8,5,-,0,Rain
11/16/2017,11,7,3,6,4,2,100,80,51,1027,1025,1023,19,11,6,8,2,-,0,Fog
11/17/2017,10,8,4,8,6,2,93,86,77,1028,1027,1026,14,7,3,13,3,-,1,Rain
11/18/2017,8,4,1,6,3,0,100,85,67,1028,1025,1022,19,11,8,23,8,-,0,Fog
11/19/2017,9,6,2,7,3,0,93,78,47,1026,1023,1020,31,10,4,16,11,-,0,Rain
11/20/2017,9,6,2,7,4,1,93,87,76,1026,1022,1019,19,10,6,19,8,-,0,Rain
11/21/2017,10,9,7,7,7,6,93,83,67,1020,1017,1014,23,11,8,16,11,-,0,
11/22/2017,14,11,7,7,5,3,87,69,41,1015,1009,1003,31,13,6,21,13,-,0,
11/23/2017,16,13,10,12,8,3,94,71,48,1011,1005,1000,31,16,10,32,19,52,2,Rain
11/24/2017,12,10,9,12,8,6,94,84,69,1013,1011,1007,31,12,3,26,13,-,2,Rain
11/25/2017,7,4,2,6,2,-1,95,81,61,1024,1016,1011,31,15,10,21,11,-,1,Rain
11/26/2017,9,5,1,2,1,-1,93,78,55,1029,1026,1024,31,18,10,24,16,-,0,
11/27/2017,8,6,3,6,4,2,87,83,67,1029,1022,1013,31,13,10,32,18,48,2,Rain
11/28/2017,10,6,1,6,4,0,100,85,52,1012,1009,1007,31,14,9,26,16,-,3,Rain
11/29/2017,6,2,-1,3,1,-2,100,89,70,1010,1008,1007,31,14,10,19,10,-,1,Rain
11/30/2017,4,2,0,2,0,-2,100,84,54,1011,1010,1009,26,13,2,23,13,-,1,"Rain , Snow , Hail"
12/1/2017,3,2,0,1,-1,-2,93,84,65,1023,1015,1009,26,12,6,21,13,-,2,"Rain , Snow"
12/2/2017,2,0,-1,-1,-2,-3,93,85,73,1029,1026,1022,10,6,2,14,10,-,0,
12/3/2017,3,0,-3,3,-1,-3,100,92,80,1030,1028,1027,6,3,2,13,6,-,1,"Rain , Snow"
12/4/2017,9,6,2,7,4,3,100,89,64,1037,1033,1030,27,6,0,14,5,-,0,"Fog , Rain"
12/5/2017,7,3,-1,6,3,-1,100,92,82,1039,1037,1036,11,7,2,11,6,-,0,Fog
12/6/2017,6,4,3,5,3,0,94,88,75,1037,1033,1028,18,9,3,16,8,-,0,
12/7/2017,9,6,2,8,3,-1,93,85,76,1029,1020,1013,18,10,2,32,19,52,3,Rain
12/8/2017,6,3,1,4,1,-1,93,84,65,1021,1017,1015,26,13,6,32,14,-,1,"Rain , Snow"
12/9/2017,5,2,-2,1,-1,-3,93,84,60,1022,1018,1011,26,14,10,16,11,-,0,Snow
12/10/2017,10,6,1,7,3,0,100,81,51,1010,990,982,31,12,5,37,19,61,7,"Rain , Snow"
12/11/2017,9,6,3,8,4,-1,100,81,57,996,978,969,31,11,3,50,19,82,5,Rain
12/12/2017,6,2,-1,2,0,-2,93,83,61,1016,1010,997,31,14,10,16,11,-,2,Rain
12/13/2017,9,6,2,8,4,1,100,87,70,1016,1006,997,31,10,2,32,18,42,11,Rain
12/14/2017,7,5,3,5,2,1,93,78,62,1004,999,994,31,14,5,39,24,58,4,Rain
12/15/2017,6,4,3,4,2,1,93,82,75,1005,998,994,26,13,6,29,19,39,2,Rain
12/16/2017,7,4,2,3,1,-2,87,75,56,1023,1015,1005,26,12,10,21,16,29,1,Rain
12/17/2017,6,2,-1,4,1,-2,100,88,60,1028,1025,1022,31,11,3,19,10,-,4,"Fog , Rain"
12/18/2017,8,6,3,8,4,2,100,82,61,1032,1026,1020,31,12,2,26,16,-,4,Rain
12/19/2017,6,3,0,4,2,-1,100,92,78,1038,1036,1032,11,4,0,13,6,-,0,Fog
12/20/2017,9,6,2,8,5,2,100,91,77,1038,1036,1035,11,6,0,11,5,-,0,Rain
12/21/2017,11,9,7,10,9,7,100,96,90,1039,1037,1036,18,5,0,14,8,-,2,Rain
12/22/2017,10,8,7,10,8,6,100,92,83,1038,1037,1036,31,9,2,19,8,29,2,Rain
12/23/2017,9,8,8,9,8,7,100,91,81,1039,1037,1035,19,9,2,14,6,-,1,"Fog , Rain"
12/24/2017,8,8,8,7,7,6,94,90,80,1036,1030,1026,19,10,5,16,11,-,0,Rain
12/25/2017,5,4,4,6,4,2,93,90,83,1026,1019,1008,19,10,5,23,13,-,0,Rain
12/26/2017,8,6,3,5,3,2,93,80,67,1009,1003,990,31,14,7,29,18,-,4,Rain
12/27/2017,6,4,3,5,2,-2,93,82,60,998,987,982,31,12,6,39,24,58,4,Rain
12/28/2017,6,2,-1,1,-1,-3,93,80,57,1011,1005,999,31,16,10,19,13,-,0,
12/29/2017,8,3,-1,6,2,-1,100,85,54,1012,1006,1000,31,12,3,32,13,47,12,"Rain , Thunderstorm"
12/30/2017,14,10,6,12,10,4,100,87,73,1011,1006,1000,19,9,3,32,19,55,3,Rain
12/31/2017,15,12,9,10,8,4,88,74,49,1012,1007,1002,31,14,6,35,26,63,2,Rain
